Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.039473684,0.001468468,1.07E-05,0,0,0,1,0.000926784,1
0,0,0.065789474,0.008243243,3.53E-04,0,0,0,1,0.000463392,1
1,0,0.048684211,0.002603604,5.41E-05,0,0,1,1,0,1
0.5,0,0.065789474,0.030990991,3.05E-05,0,0,0,1,0.00695088,1
0,1,0.060526316,0.003162162,9.17E-05,0,0,0,1,0.018999073,1
0,0,0.153947368,0.028018018,8.81E-04,1,0,0,1,0.004170528,1
0,0,0.197368421,0.022612613,1.85E-04,0,0,0,1,0.002780352,1
0,0,0.015789474,0.001891892,3.04E-06,0,0,1,1,0,1
0,0,0.007894737,0.003081081,1.27E-05,0,0,1,1,0.000926784,1
1,0,0.013157895,0.000123423,2.05E-05,0,0,1,1,0,1
0,0,0.044736842,0.000609009,3.92E-04,0,0,0,1,0,1
0,0,0.047368421,0.005144144,7.29E-05,0,0,1,1,0.002780352,1
0,0,0.010526316,0.007369369,6.69E-06,0,0,0,1,0.013901761,1
0.588235294,0,0.040789474,0.001675676,1.26E-04,1,1,0,1,0.001390176,1
0,0,0.034210526,0.001045045,1.26E-04,0,0,1,1,0,1
0,0,0.061842105,0.015945946,4.25E-05,0,0,0,1,0.000463392,1
0,0,0.056578947,7.85E-05,3.93E-04,0,0,0,1,0.001390176,1
0,0,0.043421053,0.003108108,2.07E-04,0,0,1,1,0.000926784,1
1,0,0.011842105,9.10E-05,7.57E-07,0,0,0,1,0,1
0.4,0,0.072368421,0.001432432,1.53E-04,0,0,0,1,0.001390176,1
0,0,0.043421053,0.000556757,1.15E-04,1,1,0,1,0.000926784,1
0,0,0.122368421,0.002109985,0.001046966,0,0,0,1,0,1
0,0,0.003947368,0.000136036,1.19E-05,0,0,0,1,0,1
0.5,1,0.180263158,0.024292703,0.001269368,1,0,1,1,0.00463392,1
0,0,0.182894737,0.064804676,0.001221632,1,1,1,1,0.076923077,1
0,0,0.065789474,0.000401802,3.23E-04,0,0,1,1,0.000926784,1
